Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Loan_Term,Loan_Status,Loan_Start_Date,Loan_Type,Property_Value,Down_Payment
1,13791,357305,6.42,30,Active,2019-03-24,Variable,361373,42022
2,29701,357491,9.03,30,Defaulted,2021-10-13,Variable,318901,12230
3,16633,128738,8.22,25,Closed,2024-10-23,Variable,102737,33116
4,9808,135509,3.2,20,Defaulted,2024-06-10,Variable,206215,63201
5,42268,256392,7.76,15,Active,2024-11-08,Fixed,702645,89189
6,37087,328622,7.17,15,Closed,2022-04-20,Variable,148846,19380
7,29698,220141,2.78,25,Closed,2020-04-21,Variable,753676,95791
8,40609,391931,5.63,20,Closed,2023-04-02,Variable,365762,13822
9,5653,476558,9.84,15,Active,2025-01-02,Fixed,630790,49916
10,33027,177031,2.71,25,Closed,2021-09-06,Variable,740362,32951
11,41888,414274,5.2,15,Closed,2022-09-16,Variable,259527,27086
12,33407,121259,5.87,30,Active,2024-11-22,Variable,225316,34101
13,9444,95358,6.58,30,Closed,2022-09-25,Variable,220978,59220
14,32717,465151,5.78,15,Defaulted,2019-10-07,Variable,737845,31878
15,23919,,10.25,15,Closed,2020-05-18,Fixed,573476,90343
16,47009,237233,9.83,15,Closed,2021-12-02,Variable,409876,27261
17,3594,373506,5.77,20,Active,2019-11-18,Variable,339085,90462
18,49624,260908,6.55,30,Closed,2020-10-28,Fixed,507233,11510
19,24890,416628,2.5,20,Closed,2020-10-01,Variable,655642,84126
20,20633,276555,7.1,25,Defaulted,2023-06-04,Variable,574865,60389
21,33361,442432,7.41,15,Closed,2019-01-27,Variable,441697,40029
22,24497,346491,10.23,20,Closed,2019-10-01,Fixed,575553,39159
23,26358,274089,5.1,20,Closed,2019-09-01,Variable,514608,81532
24,12867,230172,7.85,30,Active,2025-01-03,Fixed,218524,41521
25,49934,288785,3.77,20,Closed,2021-08-26,Fixed,205727,52861
26,20747,291596,6.51,25,Closed,2020-01-26,Variable,397803,44238
27,28328,442479,4.74,20,Closed,2022-05-17,Fixed,548330,31754
28,29922,463927,10.26,20,Active,2023-10-23,Fixed,724062,30142
29,13278,208544,8.84,30,Defaulted,2023-12-23,Variable,228315,63476
30,24577,115330,8.79,25,Closed,2020-12-19,Variable,413801,78032
31,40549,378672,8.53,20,Closed,2022-09-16,Fixed,253893,96592
32,12473,143033,10.2,15,Closed,2020-12-22,Variable,665934,17620
33,17359,268633,3.81,15,Closed,2024-03-23,Variable,199441,25988
34,43105,219391,7.05,20,Closed,2022-04-01,Variable,134416,84411
35,7791,313638,10.37,25,Closed,2021-04-25,Variable,434254,40861
36,25896,396199,6.5,15,Defaulted,2024-06-05,Fixed,178388,69463
37,48835,335011,5.36,20,Closed,2019-10-11,Fixed,518863,74275
38,22766,363137,7.88,20,Closed,2020-11-15,Variable,280740,76870
39,5429,88992,3.17,30,Closed,2020-12-18,Fixed,356028,70541
40,16678,265714,7.43,15,Closed,2024-07-09,Fixed,237598,9417
41,23761,470226,5.67,20,Closed,2020-02-02,Fixed,539511,87197
