Payment_ID,Loan_ID,Payment_date,Payment_Amount,Late_Payment,Payment_Method,Remaining_Balance,Interest_Paid,Principal_Paid,Fees_Charged
1,6,2022-08-18 0:00,3492,Yes,Bank Transfer,0,396.97,2789,31.31
2,21709,2024-11-30 0:00,987,No,Check,173631,411.22,1617,93.19
3,9234,2020-09-20 0:00,4931,No,Bank Transfer,64277,303.28,2602,39.45
4,45271,2024-01-20 0:00,2037,No,Cash,0,304.81,401,7.34
5,19621,2020-06-06 0:00,2945,Yes,Check,0,413.05,662,27.21
6,11946,2021-04-11 0:00,3534,No,Cash,0,188.12,977,60.87
7,24258,2022-07-28 0:00,610,Yes,Cash,37686,228.92,1186,71.82
8,43449,2020-08-14 0:00,3730,No,Bank Transfer,32465,260.76,296,2.56
9,24604,2021-05-27 0:00,4909,Yes,Cash,0,336.15,305,67.87
10,17945,2020-03-15 0:00,950,No,Credit Card,131151,359.53,1305,46.72
11,9971,2022-11-09 0:00,1241,No,Check,77778,254.32,2677,54.4
12,44502,2019-11-22 0:00,2867,No,Credit Card,148801,299.91,1665,12.73
13,49433,2020-06-03 0:00,2778,No,Bank Transfer,66078,226.89,1450,42.24
14,15463,2019-07-24 0:00,4828,No,Cash,23404,408.33,2417,93.09
15,40749,2022-02-01 0:00,1938,Yes,Cash,28603,128.58,2423,86.97
16,30011,2020-06-23 0:00,4743,No,Cash,15661,232.51,1159,80.85
17,31103,2022-10-24 0:00,4775,No,Bank Transfer,77441,76.74,2384,89.32
18,1171,2023-03-07 0:00,3023,No,Cash,0,499.96,897,18.4
19,39498,2022-05-27 0:00,4237,No,Credit Card,0,273.87,1569,42.44
20,14899,2024-06-26 0:00,3901,No,Check,196534,230.06,445,15.27
21,21846,2021-01-14 0:00,4497,No,Bank Transfer,75334,302.29,2251,4.76
22,30685,2023-09-18 0:00,1287,No,Cash,91005,160.59,2194,3.06
23,22355,2022-04-17 0:00,2774,Yes,Cash,75708,414.88,102,7.44
24,35126,2020-02-07 0:00,4538,No,Check,32687,282.13,2045,30.22
25,8870,2024-05-05 0:00,2993,No,Check,55007,152.17,964,77.87
26,40036,2020-01-12 0:00,3519,No,Bank Transfer,60792,441.63,2329,46.66
27,9662,2023-08-19 0:00,986,Yes,Check,0,255.07,253,0.37
28,703,2024-03-22 0:00,1318,No,Check,22090,303.51,868,46.66
29,39080,2020-01-03 0:00,1507,No,Bank Transfer,0,472.99,2554,4.44
30,39940,2021-06-27 0:00,4970,No,Check,101018,83.13,2157,69.49
31,31270,2020-04-04 0:00,1899,No,Cash,78139,191.33,1059,52.8
32,26101,2025-03-02 0:00,3877,No,Bank Transfer,130923,103.62,659,71.82
33,33679,2024-07-29 0:00,3713,Yes,Bank Transfer,77646,53.33,1135,66.84
34,7425,2019-05-16 0:00,4719,No,Check,128433,327.19,1220,27.2
35,47002,2023-03-29 0:00,1693,Yes,Cash,0,353.54,2097,36.09
36,11023,2022-09-13 0:00,2355,No,Credit Card,82414,380.25,502,5.39
37,8632,2024-09-06 0:00,3402,Yes,Check,9421,395.21,142,59.47
38,23259,2024-08-23 0:00,2156,No,Credit Card,152457,147.23,2147,17.71
39,46740,2024-08-03 0:00,819,No,Check,0,104.27,2364,26.59
40,4586,2023-07-28 0:00,1235,No,Check,88979,193.59,2751,75.76
41,30598,2021-03-03 0:00,4331,No,Cash,0,418.53,2504,32.14
42,11618,2023-03-14 0:00,2504,No,Check,0,338.55,1097,63.89
43,43609,2024-12-29 0:00,1053,No,Check,140931,196.91,942,43.95
44,13677,2022-06-30 0:00,811,No,Check,123698,350.79,878,12.54
45,18969,2023-05-05 0:00,691,No,Check,147048,458.97,1388,43.99
46,2679,2019-06-04 0:00,1664,Yes,Bank Transfer,15878,460.05,1799,34.11
47,39008,2024-09-30 0:00,4626,No,Cash,133038,137.43,2352,77.89
48,20041,2019-09-16 0:00,1648,Yes,Credit Card,12169,144.53,1489,51.3
